palabra_clave;rol;grupo;tipo_dato;idioma;prioridad;rol_motor_actual
estado de despachos;estado;clasificacion;texto;es;70;
estado de envios;estado;clasificacion;texto;es;70;
estado de facturas;estado;clasificacion;texto;es;70;
estado de guia despachos;estado;clasificacion;texto;es;70;
estado de nota creditos;estado;clasificacion;texto;es;70;
estado de nota debitos;estado;clasificacion;texto;es;70;
estado de ordenes;estado;clasificacion;texto;es;70;
estado de pagos;estado;clasificacion;texto;es;70;
estado de pedidos;estado;clasificacion;texto;es;70;
estado de procesos;estado;clasificacion;texto;es;70;
estado de proyectos;estado;clasificacion;texto;es;70;
estado de tareas;estado;clasificacion;texto;es;70;
estado de tramites;estado;clasificacion;texto;es;70;
estado de transacciones;estado;clasificacion;texto;es;70;
estado de ventas;estado;clasificacion;texto;es;70;
estado del boleta;estado;clasificacion;texto;es;70;
estado del compra;estado;clasificacion;texto;es;70;
estado del contrato;estado;clasificacion;texto;es;70;
estado del cotizacion;estado;clasificacion;texto;es;70;
estado del credito;estado;clasificacion;texto;es;70;
estado del cuenta;estado;clasificacion;texto;es;70;
estado del despacho;estado;clasificacion;texto;es;70;
estado del envio;estado;clasificacion;texto;es;70;
estado del factura;estado;clasificacion;texto;es;70;
estado del guia despacho;estado;clasificacion;texto;es;70;
estado del nota credito;estado;clasificacion;texto;es;70;
estado del nota debito;estado;clasificacion;texto;es;70;
estado del orden;estado;clasificacion;texto;es;70;
estado del pago;estado;clasificacion;texto;es;70;
estado del pedido;estado;clasificacion;texto;es;70;
estado del proceso;estado;clasificacion;texto;es;70;
estado del proyecto;estado;clasificacion;texto;es;70;
estado del tarea;estado;clasificacion;texto;es;70;
estado del tramite;estado;clasificacion;texto;es;70;
estado del transaccion;estado;clasificacion;texto;es;70;
estado del venta;estado;clasificacion;texto;es;70;
estado_boletas;estado;clasificacion;texto;es;70;
estado_compras;estado;clasificacion;texto;es;70;
estado_contratos;estado;clasificacion;texto;es;70;
estado_cotizaciones;estado;clasificacion;texto;es;70;
estado_cuentas;estado;clasificacion;texto;es;70;
estado_despachos;estado;clasificacion;texto;es;70;
estado_guia despachos;estado;clasificacion;texto;es;70;
estado_nota creditos;estado;clasificacion;texto;es;70;
estado_nota debitos;estado;clasificacion;texto;es;70;
estado_proyectos;estado;clasificacion;texto;es;70;
estado_tareas;estado;clasificacion;texto;es;70;
estado_transacciones;estado;clasificacion;texto;es;70;
estado_ventas;estado;clasificacion;texto;es;70;
estatus de boletas;estado;clasificacion;texto;es;70;
estatus de compras;estado;clasificacion;texto;es;70;
estatus de contratos;estado;clasificacion;texto;es;70;
estatus de cotizaciones;estado;clasificacion;texto;es;70;
estatus de creditos;estado;clasificacion;texto;es;70;
estatus de cuentas;estado;clasificacion;texto;es;70;
estatus de despachos;estado;clasificacion;texto;es;70;
estatus de envios;estado;clasificacion;texto;es;70;
estatus de facturas;estado;clasificacion;texto;es;70;
estatus de guia despachos;estado;clasificacion;texto;es;70;
estatus de nota creditos;estado;clasificacion;texto;es;70;
estatus de nota debitos;estado;clasificacion;texto;es;70;
estatus de ordenes;estado;clasificacion;texto;es;70;
estatus de pagos;estado;clasificacion;texto;es;70;
estatus de pedidos;estado;clasificacion;texto;es;70;
estatus de procesos;estado;clasificacion;texto;es;70;
estatus de proyectos;estado;clasificacion;texto;es;70;
estatus de tareas;estado;clasificacion;texto;es;70;
estatus de tramites;estado;clasificacion;texto;es;70;
estatus de transacciones;estado;clasificacion;texto;es;70;
estatus de ventas;estado;clasificacion;texto;es;70;
estatus del boleta;estado;clasificacion;texto;es;70;
estatus del compra;estado;clasificacion;texto;es;70;
estatus del contrato;estado;clasificacion;texto;es;70;
estatus del cotizacion;estado;clasificacion;texto;es;70;
estatus del credito;estado;clasificacion;texto;es;70;
estatus del cuenta;estado;clasificacion;texto;es;70;
estatus del despacho;estado;clasificacion;texto;es;70;
estatus del envio;estado;clasificacion;texto;es;70;
estatus del factura;estado;clasificacion;texto;es;70;
estatus del guia despacho;estado;clasificacion;texto;es;70;
estatus del nota credito;estado;clasificacion;texto;es;70;
estatus del nota debito;estado;clasificacion;texto;es;70;
estatus del orden;estado;clasificacion;texto;es;70;
estatus del pago;estado;clasificacion;texto;es;70;
estatus del pedido;estado;clasificacion;texto;es;70;
estatus del proceso;estado;clasificacion;texto;es;70;
estatus del proyecto;estado;clasificacion;texto;es;70;
estatus del tarea;estado;clasificacion;texto;es;70;
estatus del tramite;estado;clasificacion;texto;es;70;
estatus del transaccion;estado;clasificacion;texto;es;70;
estatus del venta;estado;clasificacion;texto;es;70;
estatus_boletas;estado;clasificacion;texto;es;70;
estatus_compras;estado;clasificacion;texto;es;70;
estatus_contratos;estado;clasificacion;texto;es;70;
estatus_cotizaciones;estado;clasificacion;texto;es;70;
estatus_creditos;estado;clasificacion;texto;es;70;
estatus_cuentas;estado;clasificacion;texto;es;70;
estatus_despachos;estado;clasificacion;texto;es;70;
estatus_envios;estado;clasificacion;texto;es;70;
estatus_facturas;estado;clasificacion;texto;es;70;
estatus_guia despachos;estado;clasificacion;texto;es;70;
estatus_nota creditos;estado;clasificacion;texto;es;70;
estatus_nota debitos;estado;clasificacion;texto;es;70;
estatus_ordenes;estado;clasificacion;texto;es;70;
estatus_pagos;estado;clasificacion;texto;es;70;
estatus_pedidos;estado;clasificacion;texto;es;70;
estatus_procesos;estado;clasificacion;texto;es;70;
estatus_proyectos;estado;clasificacion;texto;es;70;
estatus_tareas;estado;clasificacion;texto;es;70;
estatus_tramites;estado;clasificacion;texto;es;70;
estatus_transacciones;estado;clasificacion;texto;es;70;
estatus_ventas;estado;clasificacion;texto;es;70;
invoice status;estado;clasificacion;texto;en;70;
order state;estado;clasificacion;texto;en;70;
payment state;estado;clasificacion;texto;en;70;
shipment status;estado;clasificacion;texto;en;70;
situacion de boletas;estado;clasificacion;texto;es;70;
situacion de compras;estado;clasificacion;texto;es;70;
situacion de contratos;estado;clasificacion;texto;es;70;
situacion de cotizaciones;estado;clasificacion;texto;es;70;
situacion de creditos;estado;clasificacion;texto;es;70;
situacion de cuentas;estado;clasificacion;texto;es;70;
situacion de despachos;estado;clasificacion;texto;es;70;
situacion de envios;estado;clasificacion;texto;es;70;
situacion de facturas;estado;clasificacion;texto;es;70;
situacion de guia despachos;estado;clasificacion;texto;es;70;
situacion de nota creditos;estado;clasificacion;texto;es;70;
situacion de nota debitos;estado;clasificacion;texto;es;70;
situacion de ordenes;estado;clasificacion;texto;es;70;
situacion de pagos;estado;clasificacion;texto;es;70;
situacion de pedidos;estado;clasificacion;texto;es;70;
situacion de procesos;estado;clasificacion;texto;es;70;
situacion de proyectos;estado;clasificacion;texto;es;70;
situacion de tareas;estado;clasificacion;texto;es;70;
situacion de tramites;estado;clasificacion;texto;es;70;
situacion de transacciones;estado;clasificacion;texto;es;70;
situacion de ventas;estado;clasificacion;texto;es;70;
situacion del boleta;estado;clasificacion;texto;es;70;
situacion del compra;estado;clasificacion;texto;es;70;
situacion del contrato;estado;clasificacion;texto;es;70;
situacion del cotizacion;estado;clasificacion;texto;es;70;
situacion del credito;estado;clasificacion;texto;es;70;
situacion del cuenta;estado;clasificacion;texto;es;70;
situacion del despacho;estado;clasificacion;texto;es;70;
situacion del envio;estado;clasificacion;texto;es;70;
situacion del factura;estado;clasificacion;texto;es;70;
situacion del guia despacho;estado;clasificacion;texto;es;70;
situacion del nota credito;estado;clasificacion;texto;es;70;
situacion del nota debito;estado;clasificacion;texto;es;70;
situacion del orden;estado;clasificacion;texto;es;70;
situacion del pago;estado;clasificacion;texto;es;70;
situacion del pedido;estado;clasificacion;texto;es;70;
situacion del proceso;estado;clasificacion;texto;es;70;
situacion del proyecto;estado;clasificacion;texto;es;70;
situacion del tarea;estado;clasificacion;texto;es;70;
situacion del tramite;estado;clasificacion;texto;es;70;
situacion del transaccion;estado;clasificacion;texto;es;70;
situacion del venta;estado;clasificacion;texto;es;70;
situacion_boletas;estado;clasificacion;texto;es;70;
situacion_compras;estado;clasificacion;texto;es;70;
situacion_contratos;estado;clasificacion;texto;es;70;
situacion_cotizaciones;estado;clasificacion;texto;es;70;
situacion_creditos;estado;clasificacion;texto;es;70;
situacion_cuentas;estado;clasificacion;texto;es;70;
situacion_despachos;estado;clasificacion;texto;es;70;
situacion_envios;estado;clasificacion;texto;es;70;
situacion_facturas;estado;clasificacion;texto;es;70;
situacion_guia despachos;estado;clasificacion;texto;es;70;
situacion_nota creditos;estado;clasificacion;texto;es;70;
situacion_nota debitos;estado;clasificacion;texto;es;70;
situacion_ordenes;estado;clasificacion;texto;es;70;
situacion_pagos;estado;clasificacion;texto;es;70;
situacion_pedidos;estado;clasificacion;texto;es;70;
situacion_procesos;estado;clasificacion;texto;es;70;
situacion_proyectos;estado;clasificacion;texto;es;70;
situacion_tareas;estado;clasificacion;texto;es;70;
situacion_tramites;estado;clasificacion;texto;es;70;
situacion_transacciones;estado;clasificacion;texto;es;70;
situacion_ventas;estado;clasificacion;texto;es;70;
task status;estado;clasificacion;texto;en;70;
estado abonos;estado;clasificacion;texto;es;65;
estado ajustes;estado;clasificacion;texto;es;65;
estado anticipos;estado;clasificacion;texto;es;65;
estado arriendos;estado;clasificacion;texto;es;65;
estado cargos;estado;clasificacion;texto;es;65;
estado castigos;estado;clasificacion;texto;es;65;
estado comprobantes;estado;clasificacion;texto;es;65;
estado consultas;estado;clasificacion;texto;es;65;
estado convenios;estado;clasificacion;texto;es;65;
estado cuotas;estado;clasificacion;texto;es;65;
estado de abonos;estado;clasificacion;texto;es;65;
estado de ajustes;estado;clasificacion;texto;es;65;
estado de anticipos;estado;clasificacion;texto;es;65;
estado de arriendos;estado;clasificacion;texto;es;65;
estado de cargos;estado;clasificacion;texto;es;65;
estado de castigos;estado;clasificacion;texto;es;65;
estado de comprobantes;estado;clasificacion;texto;es;65;
estado de consultas;estado;clasificacion;texto;es;65;
estado de convenios;estado;clasificacion;texto;es;65;
estado de cuotas;estado;clasificacion;texto;es;65;
estado de descuento aplicados;estado;clasificacion;texto;es;65;
estado de donaciones;estado;clasificacion;texto;es;65;
estado de garantias;estado;clasificacion;texto;es;65;
estado de inversiones;estado;clasificacion;texto;es;65;
estado de licitaciones;estado;clasificacion;texto;es;65;
estado de matriculas;estado;clasificacion;texto;es;65;
estado de multas;estado;clasificacion;texto;es;65;
estado de polizas;estado;clasificacion;texto;es;65;
estado de prestamos;estado;clasificacion;texto;es;65;
estado de provisiones;estado;clasificacion;texto;es;65;
estado de recibos;estado;clasificacion;texto;es;65;
estado de reclamos;estado;clasificacion;texto;es;65;
estado de rendimientos;estado;clasificacion;texto;es;65;
estado de siniestros;estado;clasificacion;texto;es;65;
estado de suscripciones;estado;clasificacion;texto;es;65;
estado de voucheres;estado;clasificacion;texto;es;65;
estado descuento aplicados;estado;clasificacion;texto;es;65;
estado donaciones;estado;clasificacion;texto;es;65;
estado garantias;estado;clasificacion;texto;es;65;
estado inversiones;estado;clasificacion;texto;es;65;
estado licitaciones;estado;clasificacion;texto;es;65;
estado matriculas;estado;clasificacion;texto;es;65;
estado multas;estado;clasificacion;texto;es;65;
estado polizas;estado;clasificacion;texto;es;65;
estado prestamos;estado;clasificacion;texto;es;65;
estado provisiones;estado;clasificacion;texto;es;65;
estado recibos;estado;clasificacion;texto;es;65;
estado reclamos;estado;clasificacion;texto;es;65;
estado rendimientos;estado;clasificacion;texto;es;65;
estado siniestros;estado;clasificacion;texto;es;65;
estado suscripciones;estado;clasificacion;texto;es;65;
estado voucheres;estado;clasificacion;texto;es;65;
est;estado;clasificacion;texto;es;60;
estado del boletas;estado;clasificacion;texto;es;60;
estado del compras;estado;clasificacion;texto;es;60;
estado del contratos;estado;clasificacion;texto;es;60;
estado del cotizaciones;estado;clasificacion;texto;es;60;
estado del creditos;estado;clasificacion;texto;es;60;
estado del cuentas;estado;clasificacion;texto;es;60;
estado del despachos;estado;clasificacion;texto;es;60;
estado del envios;estado;clasificacion;texto;es;60;
estado del facturas;estado;clasificacion;texto;es;60;
estado del guia despachos;estado;clasificacion;texto;es;60;
estado del nota creditos;estado;clasificacion;texto;es;60;
estado del nota debitos;estado;clasificacion;texto;es;60;
estado del ordenes;estado;clasificacion;texto;es;60;
estado del pagos;estado;clasificacion;texto;es;60;
estado del pedidos;estado;clasificacion;texto;es;60;
estado del procesos;estado;clasificacion;texto;es;60;
estado del proyectos;estado;clasificacion;texto;es;60;
estado del tareas;estado;clasificacion;texto;es;60;
estado del tramites;estado;clasificacion;texto;es;60;
estado del transacciones;estado;clasificacion;texto;es;60;
estado del ventas;estado;clasificacion;texto;es;60;
estatus del boletas;estado;clasificacion;texto;es;60;
estatus del compras;estado;clasificacion;texto;es;60;
estatus del contratos;estado;clasificacion;texto;es;60;
estatus del cotizaciones;estado;clasificacion;texto;es;60;
estatus del creditos;estado;clasificacion;texto;es;60;
estatus del cuentas;estado;clasificacion;texto;es;60;
estatus del despachos;estado;clasificacion;texto;es;60;
estatus del envios;estado;clasificacion;texto;es;60;
estatus del facturas;estado;clasificacion;texto;es;60;
estatus del guia despachos;estado;clasificacion;texto;es;60;
estatus del nota creditos;estado;clasificacion;texto;es;60;
estatus del nota debitos;estado;clasificacion;texto;es;60;
estatus del ordenes;estado;clasificacion;texto;es;60;
estatus del pagos;estado;clasificacion;texto;es;60;
estatus del pedidos;estado;clasificacion;texto;es;60;
estatus del procesos;estado;clasificacion;texto;es;60;
estatus del proyectos;estado;clasificacion;texto;es;60;
estatus del tareas;estado;clasificacion;texto;es;60;
estatus del tramites;estado;clasificacion;texto;es;60;
estatus del transacciones;estado;clasificacion;texto;es;60;
estatus del ventas;estado;clasificacion;texto;es;60;
situacion del boletas;estado;clasificacion;texto;es;60;
situacion del compras;estado;clasificacion;texto;es;60;
situacion del contratos;estado;clasificacion;texto;es;60;
situacion del cotizaciones;estado;clasificacion;texto;es;60;
situacion del creditos;estado;clasificacion;texto;es;60;
situacion del cuentas;estado;clasificacion;texto;es;60;
situacion del despachos;estado;clasificacion;texto;es;60;
situacion del envios;estado;clasificacion;texto;es;60;
situacion del facturas;estado;clasificacion;texto;es;60;
situacion del guia despachos;estado;clasificacion;texto;es;60;
situacion del nota creditos;estado;clasificacion;texto;es;60;
situacion del nota debitos;estado;clasificacion;texto;es;60;
situacion del ordenes;estado;clasificacion;texto;es;60;
situacion del pagos;estado;clasificacion;texto;es;60;
situacion del pedidos;estado;clasificacion;texto;es;60;
situacion del procesos;estado;clasificacion;texto;es;60;
situacion del proyectos;estado;clasificacion;texto;es;60;
situacion del tareas;estado;clasificacion;texto;es;60;
situacion del tramites;estado;clasificacion;texto;es;60;
situacion del transacciones;estado;clasificacion;texto;es;60;
situacion del ventas;estado;clasificacion;texto;es;60;
sts;estado;clasificacion;texto;es;60;
condicion pago;metodo_pago;clasificacion;texto;es;100;
condiciones venta;metodo_pago;clasificacion;texto;es;100;
credito contado;metodo_pago;clasificacion;texto;es;100;
efectivo transferencia;metodo_pago;clasificacion;texto;es;100;
forma de pago;metodo_pago;clasificacion;texto;es;100;
forma pago;metodo_pago;clasificacion;texto;es;100;
medio de pago;metodo_pago;clasificacion;texto;es;100;
medio pago;metodo_pago;clasificacion;texto;es;100;
metodo pago;metodo_pago;clasificacion;texto;es;100;
modalidad pago;metodo_pago;clasificacion;texto;es;100;
pago con;metodo_pago;clasificacion;texto;es;100;
plazo pago;metodo_pago;clasificacion;texto;es;100;
tarjeta credito;metodo_pago;clasificacion;texto;es;100;
tarjeta debito;metodo_pago;clasificacion;texto;es;100;
terminos pago;metodo_pago;clasificacion;texto;es;100;
tipo pago;metodo_pago;clasificacion;texto;es;100;
via pago;metodo_pago;clasificacion;texto;es;100;
condicion pagos;metodo_pago;clasificacion;texto;es;90;
condiciones ventas;metodo_pago;clasificacion;texto;es;90;
credito contados;metodo_pago;clasificacion;texto;es;90;
efectivo transferencias;metodo_pago;clasificacion;texto;es;90;
forma de pagos;metodo_pago;clasificacion;texto;es;90;
forma del pago;metodo_pago;clasificacion;texto;es;90;
forma pagos;metodo_pago;clasificacion;texto;es;90;
medio de pagos;metodo_pago;clasificacion;texto;es;90;
medio del pago;metodo_pago;clasificacion;texto;es;90;
medio pagos;metodo_pago;clasificacion;texto;es;90;
metodo pagos;metodo_pago;clasificacion;texto;es;90;
modalidad pagos;metodo_pago;clasificacion;texto;es;90;
pago cones;metodo_pago;clasificacion;texto;es;90;
payment method;metodo_pago;clasificacion;texto;en;90;
payment terms;metodo_pago;clasificacion;texto;en;90;
payment type;metodo_pago;clasificacion;texto;en;90;
plazo pagos;metodo_pago;clasificacion;texto;es;90;
tarjeta creditos;metodo_pago;clasificacion;texto;es;90;
tarjeta debitos;metodo_pago;clasificacion;texto;es;90;
tender type;metodo_pago;clasificacion;texto;en;90;
terminos pagos;metodo_pago;clasificacion;texto;es;90;
tipo pagos;metodo_pago;clasificacion;texto;es;90;
via pagos;metodo_pago;clasificacion;texto;es;90;
condicion de abono;metodo_pago;clasificacion;texto;es;80;
condicion de cancelacion;metodo_pago;clasificacion;texto;es;80;
condicion de cobro;metodo_pago;clasificacion;texto;es;80;
condicion de pago;metodo_pago;clasificacion;texto;es;80;
condicion_abono;metodo_pago;clasificacion;texto;es;80;
condicion_cancelacion;metodo_pago;clasificacion;texto;es;80;
condicion_cobro;metodo_pago;clasificacion;texto;es;80;
forma de abono;metodo_pago;clasificacion;texto;es;80;
forma de cancelacion;metodo_pago;clasificacion;texto;es;80;
forma de cobro;metodo_pago;clasificacion;texto;es;80;
forma del pagos;metodo_pago;clasificacion;texto;es;80;
forma_abono;metodo_pago;clasificacion;texto;es;80;
forma_cancelacion;metodo_pago;clasificacion;texto;es;80;
forma_cobro;metodo_pago;clasificacion;texto;es;80;
medio de abono;metodo_pago;clasificacion;texto;es;80;
medio de cancelacion;metodo_pago;clasificacion;texto;es;80;
medio de cobro;metodo_pago;clasificacion;texto;es;80;
medio del pagos;metodo_pago;clasificacion;texto;es;80;
medio_abono;metodo_pago;clasificacion;texto;es;80;
medio_cancelacion;metodo_pago;clasificacion;texto;es;80;
medio_cobro;metodo_pago;clasificacion;texto;es;80;
metodo de abono;metodo_pago;clasificacion;texto;es;80;
metodo de cancelacion;metodo_pago;clasificacion;texto;es;80;
metodo de cobro;metodo_pago;clasificacion;texto;es;80;
metodo de pago;metodo_pago;clasificacion;texto;es;80;
metodo_abono;metodo_pago;clasificacion;texto;es;80;
metodo_cancelacion;metodo_pago;clasificacion;texto;es;80;
metodo_cobro;metodo_pago;clasificacion;texto;es;80;
tipo de abono;metodo_pago;clasificacion;texto;es;80;
tipo de cancelacion;metodo_pago;clasificacion;texto;es;80;
tipo de cobro;metodo_pago;clasificacion;texto;es;80;
tipo de pago;metodo_pago;clasificacion;texto;es;80;
tipo_abono;metodo_pago;clasificacion;texto;es;80;
tipo_cancelacion;metodo_pago;clasificacion;texto;es;80;
tipo_cobro;metodo_pago;clasificacion;texto;es;80;
condicion de abonos;metodo_pago;clasificacion;texto;es;70;
condicion de cancelaciones;metodo_pago;clasificacion;texto;es;70;
condicion de cobros;metodo_pago;clasificacion;texto;es;70;
condicion de pagos;metodo_pago;clasificacion;texto;es;70;
condicion del abono;metodo_pago;clasificacion;texto;es;70;
condicion del cancelacion;metodo_pago;clasificacion;texto;es;70;
condicion del cobro;metodo_pago;clasificacion;texto;es;70;
condicion del pago;metodo_pago;clasificacion;texto;es;70;
condicion_abonos;metodo_pago;clasificacion;texto;es;70;
condicion_cancelaciones;metodo_pago;clasificacion;texto;es;70;
condicion_cobros;metodo_pago;clasificacion;texto;es;70;
forma de abonos;metodo_pago;clasificacion;texto;es;70;
forma de cancelaciones;metodo_pago;clasificacion;texto;es;70;
forma de cobros;metodo_pago;clasificacion;texto;es;70;
forma del abono;metodo_pago;clasificacion;texto;es;70;
forma del cancelacion;metodo_pago;clasificacion;texto;es;70;
forma del cobro;metodo_pago;clasificacion;texto;es;70;
forma_abonos;metodo_pago;clasificacion;texto;es;70;
forma_cancelaciones;metodo_pago;clasificacion;texto;es;70;
forma_cobros;metodo_pago;clasificacion;texto;es;70;
medio de abonos;metodo_pago;clasificacion;texto;es;70;
medio de cancelaciones;metodo_pago;clasificacion;texto;es;70;
medio de cobros;metodo_pago;clasificacion;texto;es;70;
medio del abono;metodo_pago;clasificacion;texto;es;70;
medio del cancelacion;metodo_pago;clasificacion;texto;es;70;
medio del cobro;metodo_pago;clasificacion;texto;es;70;
medio_abonos;metodo_pago;clasificacion;texto;es;70;
medio_cancelaciones;metodo_pago;clasificacion;texto;es;70;
medio_cobros;metodo_pago;clasificacion;texto;es;70;
metodo de abonos;metodo_pago;clasificacion;texto;es;70;
metodo de cancelaciones;metodo_pago;clasificacion;texto;es;70;
metodo de cobros;metodo_pago;clasificacion;texto;es;70;
metodo de pagos;metodo_pago;clasificacion;texto;es;70;
metodo del abono;metodo_pago;clasificacion;texto;es;70;
metodo del cancelacion;metodo_pago;clasificacion;texto;es;70;
metodo del cobro;metodo_pago;clasificacion;texto;es;70;
metodo del pago;metodo_pago;clasificacion;texto;es;70;
metodo_abonos;metodo_pago;clasificacion;texto;es;70;
metodo_cancelaciones;metodo_pago;clasificacion;texto;es;70;
metodo_cobros;metodo_pago;clasificacion;texto;es;70;
tipo de abonos;metodo_pago;clasificacion;texto;es;70;
tipo de cancelaciones;metodo_pago;clasificacion;texto;es;70;
tipo de cobros;metodo_pago;clasificacion;texto;es;70;
tipo de pagos;metodo_pago;clasificacion;texto;es;70;
tipo del abono;metodo_pago;clasificacion;texto;es;70;
tipo del cancelacion;metodo_pago;clasificacion;texto;es;70;
tipo del cobro;metodo_pago;clasificacion;texto;es;70;
tipo del pago;metodo_pago;clasificacion;texto;es;70;
tipo_abonos;metodo_pago;clasificacion;texto;es;70;
tipo_cancelaciones;metodo_pago;clasificacion;texto;es;70;
tipo_cobros;metodo_pago;clasificacion;texto;es;70;
condicion del abonos;metodo_pago;clasificacion;texto;es;60;
condicion del cancelaciones;metodo_pago;clasificacion;texto;es;60;
condicion del cobros;metodo_pago;clasificacion;texto;es;60;
condicion del pagos;metodo_pago;clasificacion;texto;es;60;
forma del abonos;metodo_pago;clasificacion;texto;es;60;
forma del cancelaciones;metodo_pago;clasificacion;texto;es;60;
forma del cobros;metodo_pago;clasificacion;texto;es;60;
fp;metodo_pago;clasificacion;texto;es;60;
medio del abonos;metodo_pago;clasificacion;texto;es;60;
medio del cancelaciones;metodo_pago;clasificacion;texto;es;60;
medio del cobros;metodo_pago;clasificacion;texto;es;60;
metodo del abonos;metodo_pago;clasificacion;texto;es;60;
metodo del cancelaciones;metodo_pago;clasificacion;texto;es;60;
metodo del cobros;metodo_pago;clasificacion;texto;es;60;
metodo del pagos;metodo_pago;clasificacion;texto;es;60;
mp;metodo_pago;clasificacion;texto;es;60;
tipo del abonos;metodo_pago;clasificacion;texto;es;60;
tipo del cancelaciones;metodo_pago;clasificacion;texto;es;60;
tipo del cobros;metodo_pago;clasificacion;texto;es;60;
tipo del pagos;metodo_pago;clasificacion;texto;es;60;
codigo moneda;moneda;clasificacion;texto;es;100;
conversion moneda;moneda;clasificacion;texto;es;100;
divisa;moneda;clasificacion;texto;es;100;
moneda;moneda;clasificacion;texto;es;100;
moneda documento;moneda;clasificacion;texto;es;100;
moneda origen;moneda;clasificacion;texto;es;100;
moneda pago;moneda;clasificacion;texto;es;100;
paridad;moneda;clasificacion;texto;es;100;
tasa cambio;moneda;clasificacion;texto;es;100;
tipo cambio;moneda;clasificacion;texto;es;100;
tipo moneda;moneda;clasificacion;texto;es;100;
valor dolar;moneda;clasificacion;texto;es;100;
valor euro;moneda;clasificacion;texto;es;100;
valor uf;moneda;clasificacion;texto;es;100;
codigo monedas;moneda;clasificacion;texto;es;90;
conversion monedas;moneda;clasificacion;texto;es;90;
currency;moneda;clasificacion;texto;en;90;
currency code;moneda;clasificacion;texto;en;90;
divisas;moneda;clasificacion;texto;es;90;
exchange rate;moneda;clasificacion;texto;en;90;
fx rate;moneda;clasificacion;texto;en;90;
moneda documentos;moneda;clasificacion;texto;es;90;
moneda origenes;moneda;clasificacion;texto;es;90;
moneda pagos;moneda;clasificacion;texto;es;90;
monedas;moneda;clasificacion;texto;es;90;
paridades;moneda;clasificacion;texto;es;90;
tasa cambios;moneda;clasificacion;texto;es;90;
tipo cambios;moneda;clasificacion;texto;es;90;
tipo monedas;moneda;clasificacion;texto;es;90;
valor dolares;moneda;clasificacion;texto;es;90;
valor euros;moneda;clasificacion;texto;es;90;
moneda de documento;moneda;clasificacion;texto;es;80;
moneda de extranjera;moneda;clasificacion;texto;es;80;
moneda de factura;moneda;clasificacion;texto;es;80;
moneda de local;moneda;clasificacion;texto;es;80;
moneda de origen;moneda;clasificacion;texto;es;80;
moneda de pago;moneda;clasificacion;texto;es;80;
moneda_extranjera;moneda;clasificacion;texto;es;80;
moneda_factura;moneda;clasificacion;texto;es;80;
moneda_local;moneda;clasificacion;texto;es;80;
moneda de documentos;moneda;clasificacion;texto;es;70;
moneda de extranjeras;moneda;clasificacion;texto;es;70;
moneda de facturas;moneda;clasificacion;texto;es;70;
moneda de locales;moneda;clasificacion;texto;es;70;
moneda de origenes;moneda;clasificacion;texto;es;70;
moneda de pagos;moneda;clasificacion;texto;es;70;
moneda del documento;moneda;clasificacion;texto;es;70;
moneda del extranjera;moneda;clasificacion;texto;es;70;
moneda del factura;moneda;clasificacion;texto;es;70;
moneda del local;moneda;clasificacion;texto;es;70;
moneda del origen;moneda;clasificacion;texto;es;70;
moneda del pago;moneda;clasificacion;texto;es;70;
moneda_extranjeras;moneda;clasificacion;texto;es;70;
moneda_facturas;moneda;clasificacion;texto;es;70;
moneda_locales;moneda;clasificacion;texto;es;70;
mon;moneda;clasificacion;texto;es;60;
moneda del documentos;moneda;clasificacion;texto;es;60;
moneda del extranjeras;moneda;clasificacion;texto;es;60;
moneda del facturas;moneda;clasificacion;texto;es;60;
moneda del locales;moneda;clasificacion;texto;es;60;
moneda del origenes;moneda;clasificacion;texto;es;60;
moneda del pagos;moneda;clasificacion;texto;es;60;
tc;moneda;clasificacion;texto;es;60;
mones;moneda;clasificacion;texto;es;50;
calificacion;prioridad_nivel;clasificacion;texto;es;100;
clasificacion riesgo;prioridad_nivel;clasificacion;texto;es;100;
criticidad;prioridad_nivel;clasificacion;texto;es;100;
estrella;prioridad_nivel;clasificacion;texto;es;100;
evaluacion;prioridad_nivel;clasificacion;texto;es;100;
importancia;prioridad_nivel;clasificacion;texto;es;100;
nivel;prioridad_nivel;clasificacion;texto;es;100;
nivel prioridad;prioridad_nivel;clasificacion;texto;es;100;
nivel riesgo;prioridad_nivel;clasificacion;texto;es;100;
nivel satisfaccion;prioridad_nivel;clasificacion;texto;es;100;
nota evaluacion;prioridad_nivel;clasificacion;texto;es;100;
nps;prioridad_nivel;clasificacion;texto;es;100;
prioridad;prioridad_nivel;clasificacion;texto;es;100;
puntaje;prioridad_nivel;clasificacion;texto;es;100;
ranking;prioridad_nivel;clasificacion;texto;es;100;
rating;prioridad_nivel;clasificacion;texto;es;100;
score;prioridad_nivel;clasificacion;texto;es;100;
severidad;prioridad_nivel;clasificacion;texto;es;100;
tier;prioridad_nivel;clasificacion;texto;es;100;
urgencia;prioridad_nivel;clasificacion;texto;es;100;
valoracion;prioridad_nivel;clasificacion;texto;es;100;
calificaciones;prioridad_nivel;clasificacion;texto;es;90;
clasificacion riesgos;prioridad_nivel;clasificacion;texto;es;90;
criticidades;prioridad_nivel;clasificacion;texto;es;90;
estrellas;prioridad_nivel;clasificacion;texto;es;90;
evaluaciones;prioridad_nivel;clasificacion;texto;es;90;
importancias;prioridad_nivel;clasificacion;texto;es;90;
level;prioridad_nivel;clasificacion;texto;en;90;
